==PROF== Connected to process 399008 (/usr/bin/python3.12)
==PROF== Disconnected from process 399008
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","gpu__time_duration.sum","ns","470784"
"0","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","launch__block_size","","384"
"0","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","launch__grid_size","","2048"
"0","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","launch__registers_per_thread","register/thread","168"
"0","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","launch__shared_mem_per_block","byte/block","215376"
"1","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","gpu__time_duration.sum","ns","459936"
"1","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","launch__block_size","","384"
"1","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","launch__grid_size","","2048"
"1","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","launch__registers_per_thread","register/thread","168"
"1","399008","python3.12","127.0.0.1","fmhaSm103aKernel_QkvE4m3OBfloat16H256PagedKvCausalP64VarSeqQ128Kv128PersistentContext","1","7","(384, 1, 1)","(64, 32, 1)","0","10.3","Command line profiler metrics","launch__shared_mem_per_block","byte/block","215376"
