batch  seqlen    FA4 us  trtllm us  speedup
    1    1024      52.9       20.8    0.39x
    1    2048      52.8       48.1    0.91x
    1    4096     138.7      138.2    1.00x
    1    8192     490.5      535.3    1.09x
    4    1024      92.4       65.0    0.70x
    4    2048     208.1      156.1    0.75x
    4    4096     595.0      506.4    0.85x
    4    8192    2046.5     2065.5    1.01x
    8    1024     190.2      120.2    0.63x
    8    2048     420.1      282.0    0.67x
    8    4096    1231.0     1076.5    0.87x
    8    8192    4197.1     4147.6    0.99x
